position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
95	6vN77lE9LK6HP2DewaN6HZ	Yes Indeed	Lil Baby	338124	93	31	3	-2
96	7tFiyTwD0nx5a1eklYtX2J	Bohemian Rhapsody - 2011 Mix	Queen	336367	90	8	48	-6
97	4OafepJy2teCjYJbvFE60J	breathin	Ariana Grande	331512	92	18	4	-5
98	3CA9pLiwRIGtUBiMjbZmRw	Nice For What	Drake	331293	87	22	14	-11
99	74lnM5V6ecvoTPV0fvptx9	Nuketown (feat. Juice WRLD)	Ski Mask The Slump God	330961	101	3	48	2
100	7lAK3oHbfEnvUQWosrMMpR	YOSEMITE	Travis Scott	322429	115	20	12	15
101	3EPXxR3ImUwfayaurPi3cm	Be Alright	Dean Lewis	322120	98	21	28	-3
102	7wC5eZcFS1Q1BsQ35DU6H4	come out and play	Billie Eilish	321227	61	5	12	-41
103	4jvjzW7Hm0yK4LvvE0Paz9	Falling Down - Bonus Track	Lil Peep	321067	83	6	21	-20
104	40T5GIqQ1CegGm2PTEl8Bu	idontwannabeyouanymore	Billie Eilish	320289	113	2	104	9
105	4VUwkH455At9kENOfzTqmF	Beautiful (feat. Camila Cabello)	Bazzi	318647	111	20	37	6
106	2FY7b99s15jUprqC0M5NCT	Natural	Imagine Dragons	317464	103	6	31	-3
107	7sO5G9EABYOXQKNPNiE9NR	Ric Flair Drip (& Metro Boomin)	Offset	317287	99	60	6	-8
108	4ricyQVd20UQde1jpXCSuJ	Winter Wonderland	Tony Bennett	314535	133	3	108	25
109	4e4fqjx0Izh4svvTef1z7e	Meant to Be (feat. Florida Georgia Line)	Bebe Rexha	314276	97	26	38	-12
110	2P91MQbaiQOfbiz9VqhqKQ	I Like Me Better	Lauv	311090	109	29	50	-1
111	1UQbxSOVbauPxaUh337GTx	My Only Wish (This Year)	Britney Spears	308747	nan	1	111	new
112	3VTNVsTTu05dmTsVFrmGpK	Fairytale of New York (feat. Kirsty MacColl)	The Pogues	306886	144	3	91	32
