position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
62	3mTUqLbtWm2DAEwvQTyu4d	Ela Só Quer Paz	Projota	522589	57	7	37	-5
63	1t0EUDKUR1F5911t7eh3Wi	Amante Não Tem Lar - Ao Vivo	Marília Mendonça	520462	62	5	62	-1
64	1Tn0msQvQMbD6woO9VnEG3	Sou eu	Ludmilla	517295	64	7	60	0
65	5OZqnhkGUxuSuW2P7CzH7y	Estaca Zero	Luan Santana	511919	58	7	54	-7
66	3pM81OKNrV6d2zJb76nQ6M	Turutum	MC Kevinho	510941	65	7	65	-1
67	0fg8CqpjdojMyXLNzM2PaJ	Run Up (feat. PARTYNEXTDOOR & Nicki Minaj)	Major Lazer	500470	80	3	67	13
68	6BPt2sVRvE41rUixcCAHY6	A Mala É Falsa - Ao Vivo	Felipe Araújo	493180	70	7	68	2
69	1xFgXCY8Zvo76gHg4RgUaU	Sosseguei - Ao Vivo	Jorge & Mateus	492312	63	7	33	-6
70	6bgQIw80xWC3MPZX4kVYGw	Trevo (Tu)	ANAVITÓRIA	488024	122	3	70	52
71	3E2Zh20GDCR9B1EYjfXWyv	Weak	AJR	478476	92	3	71	21
72	0GR7ZABhVF9GbxghIx2RRv	Nada Nada - Ao Vivo	Henrique & Juliano	474482	67	7	44	-5
73	1ypcU9264wnBwPvmrIy4fx	Você Merece Cachê - Ao Vivo	Israel Novaes	471755	69	7	48	-4
74	1WCn5QBp0Kl9uHrR0J02GS	Vou Voando - Ao Vivo	Jorge & Mateus	471583	66	7	43	-8
75	0tICYNayWWhH9GPeFrfjfD	This Girl (Kungs Vs. Cookin' On 3 Burners)	Kungs	471510	75	7	63	0
76	1PSBzsahR2AKwLJgx8ehBj	Bad Things (with Camila Cabello)	Machine Gun Kelly	469085	68	7	62	-8
77	0QsvXIfqM0zZoerQfsI9lm	Don't Let Me Down	The Chainsmokers	464983	73	7	44	-4
78	43F1e4glaVnVe3DXOU3Xum	Oitava Dose - Na Praia 2 / Ao Vivo	Matheus & Kauan	459942	76	7	76	-2
79	7CmuLM2vfzA78iHeqastoP	Seu Polícia - Ao Vivo	Zé Neto & Cristiano	457655	71	7	49	-8
80	343YBumqHu19cGoGARUTsd	Fake Love	Drake	457115	113	7	63	33
81	69bp2EbF7Q2rqc5N3ylezZ	Sorry	Justin Bieber	451751	72	7	38	-9
82	4tCtwWceOPWzenK2HAIJSb	Work from Home (feat. Ty Dolla $ign)	Fifth Harmony	447307	77	7	61	-5
83	2WTCoQLkQ9FPdvThkf8nN1	Me & You (feat. IRO)	Alok	447129	88	7	83	5
84	4Hf7WnR761jpxPr5D46Bcd	Treat You Better	Shawn Mendes	446474	61	7	38	-23
85	6V3J5pbU5yBvB5zxPSyP5v	Pé Direito	Mc Davi	445261	90	7	85	5
86	4GQVVsUnMbZeKIx9vguKlg	A Rosa E O Beija-Flor - Na Praia / Ao Vivo	Matheus & Kauan	443426	78	7	39	-8
87	4lbPwb1Beo7JU2VwuJRTeR	Suíte 14 - Ao Vivo	Henrique & Diego	442632	84	7	62	-3
88	4owo0j5bw45IqiHxsTzcd6	Amei Te Ver	Tiago Iorc	438917	83	7	67	-5
89	6JV2JOEocMgcZxYSZelKcc	"CAN'T STOP THE FEELING! (Original Song from DreamWorks Animation's ""TROLLS"")"	Justin Timberlake	437776	74	7	55	-15
90	3CRDbSIZ4r5MsZ0YwxuEkn	Stressed Out	Twenty One Pilots	432023	93	7	82	3
