position	song_id	song_name	artist	streams	last_week_position	weeks_on_chart	peak_position	position_status
151	2qxmye6gAegTMjLKEBoR3d	Let Me Down Slowly	Alec Benjamin	5277854	136	42	27	-15
152	2P91MQbaiQOfbiz9VqhqKQ	I Like Me Better	Lauv	5257993	130	74	86	-22
153	5MPPttjfGap2C6j6eKcO6J	Baby (Lil Baby feat. DaBaby)	Quality Control	5243350	127	11	67	-26
154	4SSnFejRGlZikf02HLewEF	bury a friend	Billie Eilish	5182149	148	31	5	-6
155	2JvzF1RMd7lE3KmFlsyZD8	MIDDLE CHILD	J. Cole	5145751	144	41	2	-11
156	18uwL0vNUanqZH0ro2QcOP	comethru	Jeremy Zucker	5145005	155	17	111	-1
157	51wFQM8W0YfXTmHusXUr5i	MAMACITA	Tyga	5120047	nan	1	157	new
158	6klLvorLoo1sxvZcjJIY8I	Make No Sense	YoungBoy Never Broke Again	5083788	173	3	158	15
159	1rqqCSm0Qe4I9rUvWncaom	High Hopes	Panic! At The Disco	5065897	141	71	9	-18
160	3QzAOrNlsabgbMwlZt7TAY	Ballin' (with Roddy Ricch)	Mustard	5060407	139	4	139	-21
161	0mjAU3yKR1QnXnHtjGJqTM	Rescue Me	OneRepublic	5020338	142	24	32	-19
162	0rFQ5cKYJ9WtHSKp9sxVYt	Heartless (feat. Morgan Wallen)	Diplo	5005902	170	6	162	8
163	4B7fTyj1FIPvP9tT5X3DnR	Behind Barz - Bonus	Drake	5004330	137	7	61	-26
164	5T8EDUDqKcs6OSOwEsfqG7	Don't Stop Me Now - 2011 Mix	Queen	4993065	157	53	51	-7
165	5iwz1NiezX7WWjnCgY5TH4	Calma - Remix	Pedro Capó	4970070	149	51	5	-16
166	2BgEsaKNfHUdlh97KmvFyo	2002	Anne-Marie	4967774	154	64	28	-12
167	6K5BsR04ijf3FHNzjbaagD	Si Se Da - Remix	Myke Towers	4956358	167	13	68	0
168	0F7FA14euOIX8KcbEturGH	Old Town Road	Lil Nas X	4929316	151	14	53	-17
169	6zeeWid2sgw4lap2jV61PZ	Better	Khalid	4928759	146	53	10	-23
170	4ZLzoOkj0MPWrTLvooIuaa	Get You The Moon (feat. Snøw)	Kina	4923686	160	21	95	-10
171	0KoiMHhqKLoL4xM54rcWYY	Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)	DJ Snake	4912652	166	14	103	-5
172	2xyx0o4xNOLLjBSbOOdcbA	Playing Games (with Bryson Tiller) - Extended Version	Summer Walker	4912136	nan	2	115	re-enter
173	1zB4vmk8tFRmM9UULNzbLB	Thunder	Imagine Dragons	4893062	156	67	81	-17
174	4e0FYxSROat25pH16zMTZI	Love Me	Lil Tecca	4892365	153	4	149	-21
175	0TMGV2zMZXOILVtQLtkI3G	What Am I	Why Don't We	4892168	186	3	175	11
176	5F8ffc8KWKNawllr5WsW0r	Surtada - Remix Brega Funk	Dadá Boladão	4876313	196	2	176	20
177	5vdp5UmvTsnMEMESIF2Ym7	Another One Bites The Dust - Remastered 2011	Queen	4867324	165	53	36	-12
178	6uFn47ACjqYkc0jADwEdj1	Pop Out (feat. Lil Tjay)	Polo G	4866824	147	21	40	-31
179	0JP9xo3adEtGSdUEISiszL	Moonlight	XXXTENTACION	4852103	162	85	2	-17
180	3uhTOxvu2h2YEm0uPNF2vi	Doch in der Nacht	Apache 207	4842757	nan	1	180	new
181	1SNiXDwSilLujcYdvfqVpT	Call You Mine	The Chainsmokers	4829942	145	11	99	-36
182	2Rk4JlNc2TPmZe2af99d45	ME! (feat. Brendon Urie of Panic! At The Disco)	Taylor Swift	4800348	150	10	33	-32
183	1EoEU4HY57qaITp06TkC6B	Goteo	Duki	4788146	158	12	90	-25
184	0U6bQIAh6MCGo1xjbIIx2S	Instagram	Dimitri Vegas & Like Mike	4778612	143	17	81	-41
185	2B94bbI1a4LyBpK1439oP7	Cuerpo en Venta	Noriel	4772708	nan	5	175	re-enter
186	1Ej96GIBCTvgH7tNX1r3qr	Otro Trago	Sech	4761555	164	27	4	-22
187	7m9OqQk4RVRkw9JJdeAw96	Jocelyn Flores	XXXTENTACION	4758276	172	114	7	-15
188	1mXVgsBdtIVeCLJnSnmtdV	Too Good At Goodbyes	Sam Smith	4717027	163	103	3	-25
189	2C6WXnmZ66tHhHlnvwePiK	Die For Me (feat. Future & Halsey)	Post Malone	4713961	140	7	29	-49
190	6K4t31amVTZDgR3sKmwUJJ	The Less I Know The Better	Tame Impala	4706300	195	3	190	5
191	3U4isOIWM3VvDubwSI3y7a	All of Me	John Legend	4686855	171	23	165	-20
192	5a6pdCHlWS2ekOOQ70QnAr	July	Noah Cyrus	4683980	nan	1	192	new
193	4hQ6UGyWQIGJmHSo0J88JW	Back To You - From 13 Reasons Why – Season 2 Soundtrack	Selena Gomez	4679222	nan	34	19	re-enter
194	2zYzyRzz6pRmhPzyfMEC8s	Highway to Hell	AC/DC	4660169	nan	2	152	re-enter
195	5WHTFyqSii0lmT9R21abT8	Don't Call Me Up	Mabel	4657748	168	39	11	-27
196	2IRZnDFmlqMuOrYOLnZZyc	Going Bad (feat. Drake)	Meek Mill	4639322	185	48	11	-11
197	0rKtyWc8bvkriBthvHKY8d	SLOW DANCING IN THE DARK	Joji	4635174	169	9	95	-28
198	1GeNui6m825V8jP4uKiIaH	Bad Bad Bad (feat. Lil Baby)	Young Thug	4634256	174	11	46	-24
199	1wJRveJZLSb1rjhnUHQiv6	Swervin (feat. 6ix9ine)	A Boogie Wit da Hoodie	4591325	178	44	25	-21
200	6RUKPb4LETWmmr3iAEQktW	Something Just Like This	The Chainsmokers	4589763	180	121	2	-20
